"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated"
"135","Sehonghong","Pta-6368 ",9280,45,"Oakhurst",-29.75,28.75,""
"136","Rose Cottage Cave","Pta-5599",9250,70,"Oakhurst",-29.25,27.5,"charcoal"
"137","Heuningsneskrans","LJ-3198",9230,100,"Oakhurst",-24.6,30.65,"eggshell"
"138","Ha Makotoko","UGAMS-11599",9220,30,"Oakhurst",-29.333,27.8,"charcoal"
"139","Ha Makotoko","OxA-27313",9215,45,"Oakhurst",-29.333,27.8,"charcoal"
"140","Umhlatuzana","Pta-4307",9180,90,"Robberg",-29.8,30.75,"charcoal"
"141","Iron Pig Rock Shelter","Beta-477093",9170,30,"",-25.959,30.243,"charcoal"
"142","Chicaza","Wk-40719",9163,25,"",-12.89,35.25,"charcoal"
"143","Ntloana Tšoana","UGAMS-8976",9150,30,"Oakhurst",-29.317,27.817,"charcoal"
"144","Wonderwerk","Pta-2546",9130,90,"",-27.846,23.555,"charcoal"
"145","Ha Makotoko","OxA-27312",9115,40,"Oakhurst",-29.333,27.8,"charcoal"
"146","Kruger Cave","Pta-1273",9100,90,"",-25.75,27.25,""
"147","Kruger Cave","KRU-7",9090,90,"Oakhurst",-25.75,27.25,""
"148","Wonderwerk","Pta-3439",9030,90,"",-27.846,23.555,"eggshell"
"149","Ha Makotoko","Pta-5192 ",8950,80,"Oakhurst",-29.333,27.8,"charcoal"
"150","Ntloana Tšoana","OxA-32160",8945,45,"Oakhurst",-29.317,27.817,"charcoal"
"151","Ntloana Tšoana","OxA-X-2460-48",8905,70,"Oakhurst",-29.317,27.817,"charcoal"
"152","Heuningsneskrans","LJ-3199",8880,100,"Oakhurst",-24.6,30.65,"eggshell"
"153","Nyonyane","TX-5634",8880,140,"",-27.3,31.9,"charcoal"
"154","Iron Pig Rock Shelter","Beta-477097",8860,30,"",-25.959,30.243,"charcoal"
"155","Siphiso","TX-5630",8860,180,"Oakhurst",-26.3,31.967,"eggshell"
"156","Ntloana Tšoana","OxA-32161",8820,40,"Oakhurst",-29.317,27.817,"charcoal"
"157","Ntloana Tšoana","OxA-32158",8802,39,"Oakhurst",-29.317,27.817,"charcoal"
"158","Ntloana Tšoana","UGAMS-8977",8790,30,"Oakhurst",-29.317,27.817,"charcoal"
"159","Ntloana Tšoana","Pta-5238 ",8780,30,"Oakhurst",-29.317,27.817,"charcoal"
"160","Ha Makotoko","UGAMS-11597",8710,30,"Oakhurst",-29.333,27.8,"charcoal"
"161","Siphiso","Pta-3540",8700,120,"Oakhurst",-26.3,31.967,"bone"
"162","Ntloana Tšoana","UGAMS-8974",8690,30,"Oakhurst",-29.317,27.817,"charcoal"
"163","Tloutle","Pta-5172",8680,70,"Oakhurst",-29.467,27.767,"charcoal"
"164","Maqonqo Shelter","Pta-6259",8670,140,"Wilton",-28.344,30.424,"charcoal"
"165","Rose Cottage Cave","Pta-2076",8640,100,"Wilton",-29.25,27.5,"charcoal"
"166","Rose Cottage Cave","Pta-5560 ",8614,38,"Oakhurst",-29.25,27.5,"charcoal"
"167","Ha Makotoko","OxA-27311",8595,45,"Oakhurst",-29.333,27.8,"charcoal"
"168","Blydefontein","SMU-1823",8541,417,"Oakhurst",-31.133,25.05,"charcoal"
"169","Jubilee Shelter","Wits-1436",8500,240,"Oakhurst",-25.683,27.983,"charcoal"
"170","Rose Cottage Cave","Pta-5600 ",8380,70,"Oakhurst",-29.25,27.5,"charcoal"
"171","Ha Makotoko","Pta-5191 ",8370,80,"Oakhurst",-29.333,27.8,"charcoal"
"172","Rose Cottage Cave","Pta-7287",8350,70,"Oakhurst",-29.25,27.5,"charcoal"
"173","Chicaza","Wk-40716",8293,40,"",-12.89,35.25,"bone"
"174","Rose Cottage Cave","Pta-7122 ",8160,70,"Oakhurst",-29.25,27.5,"charcoal"
"175","Te Vrede","Pta-3204",8100,80,"",-31.217,28.183,""
"176","Nyonyane","TX-5633",8080,160,"",-27.3,31.9,"charcoal"
"177","Bonawe","Pta-1709",8040,100,"Oakhurst",-31.317,27.817,"charcoal"
"178","Dikbosch 1","Pta-3411",8010,60,"Wilton",-28.652,23.903,"charcoal"
