"","site","lat","lon","Country","Biome","Date","Uncertainty","Technological Complex"
"99","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",10460,"80","Oakhurst"
"100","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",4160,"60","Wilton"
"101","Heuningsneskrans",-24.6,30.65,"South Africa","Savanna Biome",10430,"150","Oakhurst"
"102","Boomplaas",-33.383,22.183,"South Africa","Fynbos Biome",10425,"125","Oakhurst"
"103","Nelson Bay Cave",-34.101,23.378,"South Africa","Fynbos Biome",10340,"50","Oakhurst"
"104","Nelson Bay Cave",-34.101,23.378,"South Africa","Fynbos Biome",10256,"210","Oakhurst"
"105","Equus Cave",-27.617,24.633,"South Africa","Savanna Biome",7480,"80",""
"106","Equus Cave",-27.617,24.633,"South Africa","Savanna Biome",5060,"60",""
"107","Equus Cave",-27.617,24.633,"South Africa","Savanna Biome",5460,"70",""
"108","Equus Cave",-27.617,24.633,"South Africa","Savanna Biome",10800,"270",""
"109","Faraoskop",-32.1253,18.6144,"South Africa","Fynbos Biome",4420,"60",""
"110","Faraoskop",-32.1253,18.6144,"South Africa","Fynbos Biome",10810,"100",""
"111","Faraoskop",-32.1253,18.6144,"South Africa","Fynbos Biome",11550,"120","Robberg"
"112","Florisbad",-28.767,26.067,"South Africa","Grassland Biome",10000,"100",""
"113","Florisbad",-28.767,26.067,"South Africa","Grassland Biome",11700,"110",""
"114","Gehle Shelter",-29.13,29.906,"South Africa","Grassland Biome",4330,"60","Wilton"
"115","Gehle Shelter",-29.13,29.906,"South Africa","Grassland Biome",5690,"70","Wilton"
"116","Good Hope Shelter",-29.656,29.427,"South Africa","Grassland Biome",7670,"55","Wilton"
"117","Grassridge",-31.567,26.85,"South Africa","Grassland Biome",6015,"15","Wilton"
"118","Grassridge",-31.567,26.85,"South Africa","Grassland Biome",6040,"15","Wilton"
"119","Grassridge",-31.567,26.85,"South Africa","Grassland Biome",6085,"15","Wilton"
"120","Grassridge",-31.567,26.85,"South Africa","Grassland Biome",6100,"15","Wilton"
"121","Grassridge",-31.567,26.85,"South Africa","Grassland Biome",6355,"25","Wilton"
"122","Grassridge",-31.567,26.85,"South Africa","Grassland Biome",6470,"30","Wilton"
"123","Grassridge",-31.567,26.85,"South Africa","Grassland Biome",6360,"30","Wilton"
"124","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",10215,"25","Oakhurst"
"125","Grassridge",-31.567,26.85,"South Africa","Grassland Biome",6200,"35","Wilton"
"126","Grassridge",-31.567,26.85,"South Africa","Grassland Biome",6280,"70",""
"127","Grassridge",-31.567,26.85,"South Africa","Grassland Biome",6890,"80",""
"128","Grassridge",-31.567,26.85,"South Africa","Grassland Biome",6850,"100",""
"129","Grassridge",-31.567,26.85,"South Africa","Grassland Biome",6300,"60",""
"130","Grassridge",-31.567,26.85,"South Africa","Grassland Biome",6090,"80",""
"131","Groot Kommandokloof Shelter",-33.4,24.07,"South Africa","Succulent Karoo Biome",6430,"70",""
"132","Ntloana Tšoana",-29.317,27.817,"Lesotho","Grassland Biome",10200,"100","Oakhurst"
"133","Ha Makotoko",-29.333,27.8,"Lesotho","Grassland Biome",10190,"45","Oakhurst"
"134","Nelson Bay Cave",-34.101,23.378,"South Africa","Fynbos Biome",10180,"85","Oakhurst"
"135","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",10155,"30","Oakhurst"
"136","Nelson Bay Cave",-34.101,23.378,"South Africa","Fynbos Biome",10155,"45","Oakhurst"
"137","Nelson Bay Cave",-34.101,23.378,"South Africa","Fynbos Biome",10150,"90","Oakhurst"
"138","Ha Makotoko",-29.333,27.8,"Lesotho","Grassland Biome",10135,"45","Oakhurst"
"139","Grassridge",-31.567,26.85,"South Africa","Grassland Biome",10125,"50","Oakhurst"
"140","Ha Makotoko",-29.333,27.8,"Lesotho","Grassland Biome",10125,"45","Oakhurst"
"141","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",10120,"40","Oakhurst"
"142","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",10100,"190","Oakhurst"
"143","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",10090,"65","Oakhurst"
"144","Nyonyane",-27.3,31.9,"Swaziland","Grassland Biome",10080,"430","Oakhurst"
"145","Ha Makotoko",-29.333,27.8,"Lesotho","Grassland Biome",10060,"30","Oakhurst"
"146","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",10055,"30","Oakhurst"
"147","Havens Cave",-33.667,24.35,"South Africa","Thicket Biome",6190,"80","Wilton"
"148","Havens Cave",-33.667,24.35,"South Africa","Thicket Biome",6610,"90","Wilton"
"149","Byneskranskop 1",-34.583,19.467,"South Africa","Fynbos Biome",10015,"45","Oakhurst"
"150","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",10000,"90","Oakhurst"
"151","Ha Makotoko",-29.333,27.8,"Lesotho","Grassland Biome",9970,"90","Oakhurst"
"152","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",9950,"270","Oakhurst"
"153","Bushman Rock  Shelter",-24.583,30.633,"South Africa","Savanna Biome",9940,"80","Oakhurst"
"154","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",9890,"70","Oakhurst"
"155","Highlands Rock Shelter",-31.664,25.572,"South Africa","Nama-Karoo Biome",4500,"60","Final LSA"
"156","Hope Hill Shelter",-26.35,28.833,"South Africa","Grassland Biome",4400,"100",""
"157","Iron Pig Rock Shelter",-25.959,30.243,"South Africa","",8860,"30",""
