"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated","Samp"
"114","Heuningsneskrans","Pta-099",9780,85,"Oakhurst",-24.6,30.65,"charcoal",3
"115","Kruger Cave","KRU-9",9780,110,"Oakhurst",-25.75,27.25,"",1
"116","Byneskranskop 1","Pta-1587 ",9760,85,"Oakhurst",-34.583,19.467,"",2
"117","Wonderwerk","Pta-2852",9760,120,"",-27.846,23.555,"charcoal",3
"118","Elands Bay Cave","Pta-3086",9750,100,"",-32.317,18.318,"bone",1
"119","Sehonghong","Pta-6057",9740,140,"Oakhurst",-29.75,28.75,"",2
"120","Sikhanyisweni","Pta-3782",9700,100,"",-28.467,30.383,"charcoal",3
"121","Waterfall Bluff","IT-C-2349",9691,50,"",-31.434,29.824,"charcoal",1
"122","Ntloana Tšoana","Pta-5207 ",9690,120,"Oakhurst",-29.317,27.817,"charcoal",2
"123","Matjies River","OxA-V-2064-56 ",9688,36,"Oakhurst",-34.017,23.417,"",3
"124","Waterfall Bluff","BETA-461584",9680,30,"",-31.434,29.824,"charcoal",1
"125","Waterfall Bluff","IT-C-2329",9670,55,"",-31.434,29.824,"charcoal",2
"126","Ntloana Tšoana","UGAMS-8979",9650,30,"Oakhurst",-29.317,27.817,"charcoal",3
"127","Waterfall Bluff","IT-C-2532",9644,46,"",-31.434,29.824,"charcoal",1
"128","Elands Bay Cave","Pta-5306",9640,90,"Oakhurst",-32.317,18.318,"",2
"129","Lion Cavern","Y-1713",9640,80,"",-26.2,31.033,"charcoal",3
"130","Waterfall Bluff","BETA-442147",9640,30,"",-31.434,29.824,"charcoal",1
"131","Waterfall Bluff","BETA-469052",9640,30,"",-31.434,29.824,"charcoal",2
"132","Waterfall Bluff","IT-C-2556",9639,44,"",-31.434,29.824,"charcoal",3
"133","Uitkomst Cave","Y-1323",9630,200,"",-25.884,27.618,"charcoal",1
"134","Matjies River","Pta-6686 ",9610,170,"Oakhurst",-34.017,23.417,"charcoal",2
"135","Waterfall Bluff","IT-C-2321",9607,57,"",-31.434,29.824,"charcoal",3
"136","Waterfall Bluff","IT-C-2385",9602,50,"",-31.434,29.824,"charcoal",1
"137","Elands Bay Cave","Pta-686",9600,90,"Oakhurst",-32.317,18.318,"",2
"138","Waterfall Bluff","IT-C-2533",9599,44,"",-31.434,29.824,"charcoal",3
"139","Waterfall Bluff","IT-C-2560",9599,44,"",-31.434,29.824,"charcoal",1
"140","Waterfall Bluff","IT-C-2322",9596,49,"",-31.434,29.824,"charcoal",2
"141","Waterfall Bluff","IT-C-2348",9596,53,"",-31.434,29.824,"charcoal",3
"142","Waterfall Bluff","IT-C-2388",9594,51,"",-31.434,29.824,"charcoal",1
"143","Kruger Cave","KRU-8",9590,130,"Oakhurst",-25.75,27.25,"",2
"144","Waterfall Bluff","IT-C-2557",9580,45,"",-31.434,29.824,"charcoal",3
"145","Waterfall Bluff","IT-C-2377",9577,46,"",-31.434,29.824,"charcoal",1
"146","Bushman Rock  Shelter","GrN-5874",9570,55,"Oakhurst",-24.583,30.633,"",2
"147","Ntloana Tšoana","UGAMS-8980",9570,30,"Oakhurst",-29.317,27.817,"charcoal",3
"148","Siphiso","Pta-004",9570,450,"Oakhurst",-26.3,31.967,"bone",1
"149","Waterfall Bluff","IT-C-2387",9568,47,"",-31.434,29.824,"charcoal",2
"150","Waterfall Bluff","IT-C-2330",9567,52,"",-31.434,29.824,"charcoal",3
"151","Waterfall Bluff","IT-C-2555",9562,48,"",-31.434,29.824,"charcoal",1
"152","Waterfall Bluff","IT-C-2389",9561,46,"",-31.434,29.824,"charcoal",2
"153","Ntloana Tšoana","OxA-32159",9560,45,"Oakhurst",-29.317,27.817,"charcoal",3
"154","Rose Cottage Cave","Pta-7275",9560,70,"Robberg",-29.25,27.5,"charcoal",1
"155","Waterfall Bluff","IT-C-2535",9560,43,"",-31.434,29.824,"charcoal",2
"156","Waterfall Bluff","IT-C-2358",9560,54,"",-31.434,29.824,"charcoal",3
"157","Waterfall Bluff","BETA-469053",9550,30,"",-31.434,29.824,"charcoal",1
"158","Waterfall Bluff","IT-C-2590",9548,48,"",-31.434,29.824,"charcoal",2
"159","Waterfall Bluff","IT-C-2561",9544,50,"",-31.434,29.824,"charcoal",3
"160","Waterfall Bluff","IT-C-2383",9543,47,"",-31.434,29.824,"charcoal",1
"161","Waterfall Bluff","IT-C-2384",9543,47,"",-31.434,29.824,"charcoal",2
"162","Waterfall Bluff","IT-C-2374",9541,49,"",-31.434,29.824,"charcoal",3
"163","Waterfall Bluff","IT-C-2386",9541,55,"",-31.434,29.824,"charcoal",1
"164","Waterfall Bluff","BETA-461585",9540,30,"",-31.434,29.824,"charcoal",2
"165","Waterfall Bluff","IT-C-2347",9534,46,"",-31.434,29.824,"charcoal",3
"166","Ntloana Tšoana","UGAMS-8978",9530,30,"Oakhurst",-29.317,27.817,"charcoal",1
"167","Waterfall Bluff","IT-C-2360",9529,69,"",-31.434,29.824,"charcoal",2
"168","Waterfall Bluff","IT-C-2559",9522,45,"",-31.434,29.824,"charcoal",3
"169","Waterfall Bluff","BETA-442146",9520,30,"",-31.434,29.824,"charcoal",1
"170","Waterfall Bluff","IT-C-2351",9515,51,"",-31.434,29.824,"charcoal",2
"171","Bushman Rock  Shelter","GrN-4854",9510,55,"Oakhurst",-24.583,30.633,"",3
"172","Ntloana Tšoana","OxA-26231",9505,55,"Oakhurst",-29.317,27.817,"charcoal",1
"173","Waterfall Bluff","IT-C-2537",9499,45,"",-31.434,29.824,"charcoal",2
"174","Waterfall Bluff","IT-C-2540",9497,49,"",-31.434,29.824,"charcoal",3
"175","Waterfall Bluff","IT-C-2542",9470,43,"",-31.434,29.824,"charcoal",1
"176","Waterfall Bluff","IT-C-2531",9458,43,"",-31.434,29.824,"charcoal",2
"177","Apollo 11 Cave","KN-I-610",9430,90,"Wilton",-27.75,17.1,"",3
"178","Aspoort Cave","Pta-2250",9420,160,"",-32.5,19.519,"charcoal",1
"179","Ntloana Tšoana","Pta-5237 ",9420,110,"Oakhurst",-29.317,27.817,"charcoal",2
"180","Ntloana Tšoana","UGAMS-8975",9420,30,"Oakhurst",-29.317,27.817,"charcoal",3
"181","Blydefontein","OxA-7876",9400,100,"",-31.13,25.05,"sediments",1
"182","Pomongwe Cave","SR-12",9400,100,"",-20.533,28.5,"charcoal",2
"183","Strathalan A","Pta-4634",9400,900,"",-30.983,28.383,"charcoal",3
"184","Siphiso","TX-5628",9380,90,"Oakhurst",-26.3,31.967,"snail",1
"185","Siphiso","Y-1996",9370,160,"Oakhurst",-26.3,31.967,"bone",2
"186","Siphiso","TX-5629",9360,190,"Oakhurst",-26.3,31.967,"eggshell",3
"187","Rose Cottage Cave","Pta-7228",9340,80,"Robberg",-29.25,27.5,"charcoal",1
"188","Ntloana Tšoana","OxA-26230",9335,30,"Oakhurst",-29.317,27.817,"charcoal",2
"189","Nelson Bay Cave","OxA-32453",9325,45,"Oakhurst",-34.101,23.378,"bone",3
"190","Ha Makotoko","UGAMS-8985",9320,30,"Oakhurst",-29.333,27.8,"charcoal",1
"191","Nyonyane","TX-5635",9310,90,"",-27.3,31.9,"charcoal",2
"192","Ha Makotoko","Pta-5204 ",9290,90,"Oakhurst",-29.333,27.8,"charcoal",3
"193","Sehonghong","Pta-6368 ",9280,45,"Oakhurst",-29.75,28.75,"",1
"194","Kangkara Cave","Pta-2307 ",9260,90,"Oakhurst",-33.783,23.083,"bone",2
"195","Rose Cottage Cave","Pta-5599",9250,70,"Oakhurst",-29.25,27.5,"charcoal",3
"196","Heuningsneskrans","LJ-3198",9230,100,"Oakhurst",-24.6,30.65,"eggshell",1
"197","Ha Makotoko","UGAMS-11599",9220,30,"Oakhurst",-29.333,27.8,"charcoal",2
"198","Ha Makotoko","OxA-27313",9215,45,"Oakhurst",-29.333,27.8,"charcoal",3
"199","Umhlatuzana","Pta-4307",9180,90,"Robberg",-29.8,30.75,"charcoal",1
"200","Iron Pig Rock Shelter","Beta-477093",9170,30,"",-25.959,30.243,"charcoal",2
"201","Chicaza","Wk-40719",9163,25,"",-12.89,35.25,"charcoal",3
"202","Ntloana Tšoana","UGAMS-8976",9150,30,"Oakhurst",-29.317,27.817,"charcoal",1
"203","Wonderwerk","Pta-2546",9130,90,"",-27.846,23.555,"charcoal",2
"204","Ha Makotoko","OxA-27312",9115,40,"Oakhurst",-29.333,27.8,"charcoal",3
"205","Kruger Cave","Pta-1273",9100,90,"",-25.75,27.25,"",1
"206","Boomplaas","UW-410 ",9100,135,"Oakhurst",-33.383,22.183,"",2
"207","Oakhurst","Pta-3724",9100,90,"",-33.933,22.617,"bone",3
"208","Kruger Cave","KRU-7",9090,90,"Oakhurst",-25.75,27.25,"",1
"209","Wonderwerk","Pta-3439",9030,90,"",-27.846,23.555,"eggshell",2
"210","Nelson Bay Cave","Pta-391 ",8990,80,"Oakhurst",-34.101,23.378,"charcoal",3
"211","Buffelskloof","Pta-1484",8960,80,"Oakhurst",-33.667,21.867,"",1
"212","Ha Makotoko","Pta-5192 ",8950,80,"Oakhurst",-29.333,27.8,"charcoal",2
"213","Oakhurst","Pta-410",8950,90,"Oakhurst",-33.933,22.617,"bone",3
"214","Ntloana Tšoana","OxA-32160",8945,45,"Oakhurst",-29.317,27.817,"charcoal",1
"215","Ntloana Tšoana","OxA-X-2460-48",8905,70,"Oakhurst",-29.317,27.817,"charcoal",2
"216","N2005/2, Sesfontein","KIA-29631",8890,30,"",-19.05,13.533,"charcoal",3
"217","Heuningsneskrans","LJ-3199",8880,100,"Oakhurst",-24.6,30.65,"eggshell",1
"218","Nyonyane","TX-5634",8880,140,"",-27.3,31.9,"charcoal",2
"219","Iron Pig Rock Shelter","Beta-477097",8860,30,"",-25.959,30.243,"charcoal",3
"220","Elands Bay Cave","Pta-5305",8860,90,"Oakhurst",-32.317,18.318,"",1
"221","Siphiso","TX-5630",8860,180,"Oakhurst",-26.3,31.967,"eggshell",2
"222","Ntloana Tšoana","OxA-32161",8820,40,"Oakhurst",-29.317,27.817,"charcoal",3
"223","Ntloana Tšoana","OxA-32158",8802,39,"Oakhurst",-29.317,27.817,"charcoal",1
"224","Ntloana Tšoana","UGAMS-8977",8790,30,"Oakhurst",-29.317,27.817,"charcoal",2
"225","Ntloana Tšoana","Pta-5238 ",8780,30,"Oakhurst",-29.317,27.817,"charcoal",3
"226","Ha Makotoko","UGAMS-11597",8710,30,"Oakhurst",-29.333,27.8,"charcoal",1
"227","Siphiso","Pta-3540",8700,120,"Oakhurst",-26.3,31.967,"bone",2
"228","Ntloana Tšoana","UGAMS-8974",8690,30,"Oakhurst",-29.317,27.817,"charcoal",3
"229","Tloutle","Pta-5172",8680,70,"Oakhurst",-29.467,27.767,"charcoal",1
"230","Maqonqo Shelter","Pta-6259",8670,140,"Wilton",-28.344,30.424,"charcoal",2
"231","Rose Cottage Cave","Pta-2076",8640,100,"Wilton",-29.25,27.5,"charcoal",3
"232","Rose Cottage Cave","Pta-5560 ",8614,38,"Oakhurst",-29.25,27.5,"charcoal",1
"233","Ha Makotoko","OxA-27311",8595,45,"Oakhurst",-29.333,27.8,"charcoal",2
"234","Nelson Bay Cave","UW-184 ",8570,170,"Oakhurst",-34.101,23.378,"marine shell",3
"235","Nelson Bay Cave","OxA-32451",8550,37,"Oakhurst",-34.101,23.378,"bone",1
"236","Blydefontein","SMU-1823",8541,417,"Oakhurst",-31.133,25.05,"charcoal",2
"237","Jubilee Shelter","Wits-1436",8500,240,"Oakhurst",-25.683,27.983,"charcoal",3
"238","Nelson Bay Cave","OxA-32452",8447,39,"Oakhurst",-34.101,23.378,"bone",1
"239","Mirabib Hill Shelter","Pta-1368",8410,80,"",-23.463,15.325,"charcoal",2
"240","Rose Cottage Cave","Pta-5600 ",8380,70,"Oakhurst",-29.25,27.5,"charcoal",3
"241","Ha Makotoko","Pta-5191 ",8370,80,"Oakhurst",-29.333,27.8,"charcoal",1
"242","Steenbokfontein","Pta-7327",8370,80,"Wilton",-32.162,18.333,"charcoal",2
"243","Rose Cottage Cave","Pta-7287",8350,70,"Oakhurst",-29.25,27.5,"charcoal",3
"244","Elands Bay Cave","Pta-1871",8340,80,"Wilton",-32.317,18.318,"",1
"245","Chicaza","Wk-40716",8293,40,"",-12.89,35.25,"bone",2
"246","Nelson Bay Cave","OxA-32450",8281,38,"Wilton",-34.101,23.378,"bone",3
"247","Oakhurst","Pta-375",8270,55,"",-33.933,22.617,"charcoal",1
"248","Wilton Large Rock Shelter","GaK-1541",8260,720,"Oakhurst",-33.325,26.142,"charcoal",2
"249","Namtib","KN-2143",8230,70,"",-26.033,16.25,"charcoal",3
"250","Mirabib Hill Shelter","Pta-1013",8200,80,"",-23.463,15.325,"charcoal",1
"251","Rose Cottage Cave","Pta-7122 ",8160,70,"Oakhurst",-29.25,27.5,"charcoal",2
"252","Elands Bay Cave","AA-5832",8110,90,"Wilton",-32.317,18.318,"eggshell",3
"253","Te Vrede","Pta-3204",8100,80,"",-31.217,28.183,"",1
"254","Nyonyane","TX-5633",8080,160,"",-27.3,31.9,"charcoal",2
"255","Nelson Bay Cave","UW-181 ",8070,240,"Oakhurst",-34.101,23.378,"other",3
"256","Bonawe","Pta-1709",8040,100,"Oakhurst",-31.317,27.817,"charcoal",1
"257","Dikbosch 1","Pta-3411",8010,60,"Wilton",-28.652,23.903,"charcoal",2
"258","Elands Bay Cave","Pta-1829",8000,95,"",-32.317,18.318,"bone",3
"259","Wonderwerk","Pta-3366",8000,80,"",-27.846,23.555,"eggshell",1
"260","Steenbokfontein","Pta-7326",7950,80,"Wilton",-32.162,18.333,"charcoal",2
"261","Matjies River","Pta-6688 ",7920,100,"Oakhurst",-34.017,23.417,"charcoal",3
"262","Elands Bay Cave","Pta-1872",7910,80,"Wilton",-32.317,18.318,"",1
"263","Oakhurst","Pta-377",7910,70,"Wilton",-33.933,22.617,"charcoal",2
"264","Matjies River","Pta-6687 ",7900,340,"Oakhurst",-34.017,23.417,"charcoal",3
"265","Nswatugi Cave","Pta-2046",7880,70,"",-20.533,28.467,"charcoal",1
"266","Cave James","Wits-1743",7840,170,"",-25.683,27.983,"",2
"267","Namtib","Pta-1185",7840,90,"Wilton",-26.033,16.25,"charcoal",3
