"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated","Samp"
"99","Namtib","Pta-1186",5400,70,"",-26.033,16.25,"charcoal",3
"100","Kruger Cave","KRU-1",5400,160,"Oakhurst",-25.75,27.25,"",1
"101","Deurspring 16","Pta-7132",5390,70,"",-32.006,18.305,"marine shell",2
"102","Matjies River","Pta-6975 ",5390,70,"Wilton",-34.017,23.417,"",3
"103","Mitchell's Bay 2005/005B","GX-32526",5390,70,"",-30.468,17.36,"",1
"104","Matjies River","Pta-6976 ",5370,70,"Wilton",-34.017,23.417,"",2
"105","Kangkara Cave","Pta-2286 ",5355,55,"Wilton",-33.783,23.083,"bone",3
"106","Wonderwerk","OxA-30638",5340,33,"",-27.846,23.555,"charcoal ",1
"107","Oakhurst","Pta-3719",5330,60,"",-33.933,22.617,"bone",2
"108","Nelson Bay Cave","Pta-2933 ",5320,220,"Wilton",-34.101,23.378,"charcoal",3
"109","Matjies River","UCLA-1746-C-1 ",5310,60,"Wilton",-34.017,23.417,"",1
"110","Diaz Street Midden","UGAMS-2806",5300,40,"",-33.009,17.94,"marine shell",2
"111","Byneskranskop 1","OxA-32680",5263,33,"Wilton",-34.583,19.467,"bone",3
"112","Jubilee Shelter","Wits-1450 ",5250,129,"Wilton",-25.683,27.983,"charcoal",1
"113","Aspoort Cave","Pta-2179",5220,60,"",-32.5,19.519,"charcoal",2
"114","Leliehoek","Wits-2010",5210,100,"Wilton",-29.117,27.25,"eggshell",3
"115","Mirabib Hill Shelter","Pta-1011",5190,80,"",-23.463,15.325,"charcoal",1
"116","Wonderwerk","Pta-2544",5180,70,"",-27.846,23.555,"",2
"117","Doorspring 1","Pta-6740",5130,50,"",-32,18.3,"marine shell",3
"118","Buffelskloof","Pta-1481",5120,65,"Wilton",-33.667,21.867,"",1
"119","Tloutle","OxA-4068",5080,80,"",-29.467,27.767,"bone",2
"120","Wonderwerk","OxA-31897",5063,30,"",-27.846,23.555,"charcoal ",3
"121","Equus Cave","Pta-2789",5060,60,"",-27.617,24.633,"eggshell",1
"122","Oakhurst","AA-2117",4995,215,"",-33.933,22.617,"bone",2
"123","Nelson Bay Cave","OxA-32448",4968,31,"Wilton",-34.101,23.378,"bone",3
"124","Jakkalsberg N","GX-32755",4960,40,"Wilton",-28.181,16.885,"marine shell",1
