"","site","Site.code","lat","lon","Country","Province.or.district","RFZ","Biome","Stratigraphic.context","Dating.technique","Material.dated","Species","Lab.ID","c14age","c14std","Archaeological.Period","culture","Sample.context","Site.Type","delta.13","refcode","Notes"
"72","Jubilee Shelter","JBS",-25.683,27.983,"South Africa","Gauteng","S","Savanna Biome","BM B1","conventional 14C","charcoal","","Wits-1382 ",4090,80,"LSA","Wilton","","rock shelter",NA,"wadley1987lsh",""
"73","Jubilee Shelter","JBS",-25.683,27.983,"South Africa","Gauteng","S","Savanna Biome","LYN 4 C2","conventional 14C","charcoal","","Wits-1449 ",3250,60,"LSA","Wilton","","rock shelter",NA,"wadley1987lsh",""
"74","Jubilee Shelter","JBS",-25.683,27.983,"South Africa","Gauteng","S","Savanna Biome","K11 D3","conventional 14C","charcoal","","Wits-1450 ",5250,129,"LSA","Wilton","","rock shelter",NA,"wadley1987lsh",""
"75","Jubilee Shelter","JBS",-25.683,27.983,"South Africa","Gauteng","S","Savanna Biome","BM/R C2","conventional 14C","charcoal","","Wits-1462",6490,200,"LSA","Wilton","","rock shelter",NA,"wadley1987lsh",""
"76","Kabeljous River Shelter","KJS",-33.967,24.917,"South Africa","Eastern Cape","Y","Fynbos Biome","","conventional 14C","","","Pta-4061",5750,80,"LSA","Wilton","","rock shelter",NA,"binneman2007ara",""
"77","Kangkara Cave","KRA",-33.783,23.083,"South Africa","Western Cape","Y","Fynbos Biome","HBC","conventional 14C","bone","","Pta-2286 ",5355,55,"LSA","Wilton","","rock shelter",NA,"deacon1984lss",""
"78","Kangkara Cave","KRA",-33.783,23.083,"South Africa","Western Cape","Y","Fynbos Biome","GBL","conventional 14C","bone","","Pta-2287 ",6600,75,"LSA","Wilton","","rock shelter",NA,"deacon1984lss",""
"79","Leliehoek","LIH",-29.117,27.25,"South Africa","Free State","S","Grassland Biome","Ln","conventional 14C","eggshell","Struthio camelus","Wits-2009 ",4860,100,"LSA","Wilton","","rock shelter",NA,"esterhuysen1994lsh",""
"80","Leliehoek","LIH",-29.117,27.25,"South Africa","Free State","S","Grassland Biome","Sm","conventional 14C","eggshell","Struthio camelus","Wits-2010",5210,100,"LSA","Wilton","","rock shelter",NA,"esterhuysen1994lsh",""
"81","Maqonqo Shelter","MQQ",-28.344,30.424,"South Africa","Kwazulu-Natal","S","Grassland Biome","7","conventional 14C","charcoal","","Pta-5898 ",4790,60,"LSA","Wilton","","rock shelter",NA,"mazel1996mse",""
