"","site","Site.code","lat","lon","Country","Province.or.district","RFZ","Biome","Stratigraphic.context","Dating.technique","Material.dated","Species","Lab.ID","c14age","c14std","Archaeological.Period","culture","Sample.context","Site.Type","delta.13","refcode","Notes"
"38","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","conventional 14C","charcoal","","Pta-6838 ",10120,40,"LSA","Oakhurst","","rock shelter",NA,"dockel1998imr","Forest"
"39","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","conventional 14C","","","UCLA-1746-C-2 ",10100,190,"LSA","Oakhurst","","rock shelter",NA,"protsch1975pca","Forest"
"40","Elands Bay Cave","EBC",-32.317,18.318,"South Africa","Western Cape","W","Fynbos Biome","PLGB, Level 6 (top)","conventional 14C","charcoal","","UW-0193",10090,65,"LSA","Oakhurst","","rock shelter",NA,"fairhall1976uwd",""
"41","Nyonyane","NYO",-27.3,31.9,"Swaziland","Hhohho District","S","Grassland Biome","II 38-42 cm","conventional 14C","charcoal","","TX-5636",10080,430,"LSA","Oakhurst","","rock shelter",NA,"barham1989rdn","Indian Ocean Cpastal Belt"
"42","Ha Makotoko","HMA",-29.333,27.8,"Lesotho","Maseru District","S","Grassland Biome","7","AMS","charcoal","","UGAMS-8986",10060,30,"LSA","Oakhurst","","rock shelter",NA,"mitchell2014mls",""
"43","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","conventional 14C","marine shell","","Pta-6925",10055,30,"LSA","Oakhurst","","rock shelter",NA,"dockel1998imr","Forest"
"44","Byneskranskop 1","BNK1",-34.583,19.467,"South Africa","Western Cape","Y","Fynbos Biome","","AMS","bone","","OxA-32684",10015,45,"LSA","Oakhurst","","rock shelter",NA,"loftus2016rdb",""
"45","Elands Bay Cave","EBC",-32.317,18.318,"South Africa","Western Cape","W","Fynbos Biome","CRAY","conventional 14C","","","Pta-2481",10000,90,"LSA","Oakhurst","","rock shelter",NA,"parkington1992mss",""
"46","Ha Makotoko","HMA",-29.333,27.8,"Lesotho","Maseru District","S","Grassland Biome","7","conventional 14C","charcoal","","Pta-5205",9970,90,"LSA","Oakhurst","","rock shelter",NA,"mitchell2014mls",""
"47","Elands Bay Cave","EBC",-32.317,18.318,"South Africa","Western Cape","W","Fynbos Biome","CRAY","conventional 14C","marine other","Jasus lalandii","Pta-2592",9950,270,"LSA","Oakhurst","","rock shelter",NA,"parkington1992mss",""
"48","Bushman Rock  Shelter","BRS",-24.583,30.633,"South Africa","Limpopo","S","Savanna Biome","Level 7","conventional 14C","","","GrN-4813",9940,80,"LSA","Oakhurst","","rock shelter",NA,"plug1981bs; vogel1969rdb",""
"49","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","conventional 14C","charcoal","","Pta-6936 ",9890,70,"LSA","Oakhurst","","rock shelter",NA,"dockel1998imr","Forest"
"50","Havens Cave","HVC",-33.667,24.35,"South Africa","Eastern Cape","Y","Thicket Biome","GOW","conventional 14C","","","Pta-4620",9790,90,"LSA","Oakhurst","","rock shelter",NA,"binneman1995scc",""
"51","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","conventional 14C","charcoal","","Pta-6937 ",9790,90,"LSA","Oakhurst","","rock shelter",NA,"dockel1998imr","Forest"
"52","Heuningsneskrans","HNK",-24.6,30.65,"South Africa","Limpopo","S","Savanna Biome","Stratum 2a - 76-107cm","conventional 14C","charcoal","","Pta-099",9780,85,"LSA","Oakhurst","","rock shelter",NA,"vogel1971prd",""
"53","Kruger Cave","KRU",-25.75,27.25,"South Africa","North West Province","S","Savanna Biome","","conventional 14C","","","KRU-9",9780,110,"LSA","Oakhurst","","rock shelter",NA,"mason1988kop",""
"54","Byneskranskop 1","BNK1",-34.583,19.467,"South Africa","Western Cape","Y","Fynbos Biome","","conventional 14C","","","Pta-1587 ",9760,85,"LSA","Oakhurst","","rock shelter",NA,"schweitzer1982bql",""
"55","Sehonghong","SHH",-29.75,28.75,"Lesotho","Thaba-Tseka","S","Grassland Biome","SA","conventional 14C","","","Pta-6057",9740,140,"LSA","Oakhurst","","rock shelter",NA,"mitchell1996qlh",""
"56","Ntloana Tšoana","NTL",-29.317,27.817,"Lesotho","Maseru District","S","Grassland Biome","Phase 4 (349=024 in 1989)","conventional 14C","charcoal","","Pta-5207 ",9690,120,"LSA","Oakhurst","","rock shelter",NA,"mitchell1993ail",""
"57","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","AMS","","","OxA-V-2064-56 ",9688,36,"LSA","Oakhurst","","rock shelter",NA,"sealy2006rdm","Forest"
"58","Ntloana Tšoana","NTL",-29.317,27.817,"Lesotho","Maseru District","S","Grassland Biome","Phase 4 (319)","conventional 14C","charcoal","","UGAMS-8979",9650,30,"LSA","Oakhurst","","rock shelter",NA,"roberts2013sci",""
"59","Elands Bay Cave","EBC",-32.317,18.318,"South Africa","Western Cape","W","Fynbos Biome","NEPT","conventional 14C","","","Pta-5306",9640,90,"LSA","Oakhurst","","rock shelter",NA,"parkington1992mss",""
